-4 -4 0.103159 
-4 -3.8 -0.0341652 
-4 -3.6 -0.139956 
-4 -3.4 -0.209996 
-4 -3.2 -0.241492 
-4 -3 -0.23319 
-4 -2.8 -0.18542 
-4 -2.6 -0.100086 
-4 -2.4 0.0194088 
-4 -2.2 0.168301 
-4 -2 0.340656 
-4 -1.8 0.5296 
-4 -1.6 0.727603 
-4 -1.4 0.92677 
-4 -1.2 1.11916 
-4 -1 1.2971 
-4 -0.8 1.45351 
-4 -0.6 1.58214 
-4 -0.4 1.67786 
-4 -0.2 1.73687 
-4 1.27676e-15 1.7568 
-4 0.2 1.73687 
-4 0.4 1.67786 
-4 0.6 1.58214 
-4 0.8 1.45351 
-4 1 1.2971 
-4 1.2 1.11916 
-4 1.4 0.92677 
-4 1.6 0.727603 
-4 1.8 0.5296 
-4 2 0.340656 
-4 2.2 0.168301 
-4 2.4 0.0194088 
-4 2.6 -0.100086 
-4 2.8 -0.18542 
-4 3 -0.23319 
-4 3.2 -0.241492 
-4 3.4 -0.209996 
-4 3.6 -0.139956 
-4 3.8 -0.0341652 
-3.8 -4 -0.0417857 
-3.8 -3.8 -0.17911 
-3.8 -3.6 -0.284901 
-3.8 -3.4 -0.35494 
-3.8 -3.2 -0.386437 
-3.8 -3 -0.378135 
-3.8 -2.8 -0.330364 
-3.8 -2.6 -0.245031 
-3.8 -2.4 -0.125536 
-3.8 -2.2 0.0233568 
-3.8 -2 0.195711 
-3.8 -1.8 0.384656 
-3.8 -1.6 0.582658 
-3.8 -1.4 0.781825 
-3.8 -1.2 0.974216 
-3.8 -1 1.15216 
-3.8 -0.8 1.30856 
-3.8 -0.6 1.43719 
-3.8 -0.4 1.53292 
-3.8 -0.2 1.59192 
-3.8 1.27676e-15 1.61186 
-3.8 0.2 1.59192 
-3.8 0.4 1.53292 
-3.8 0.6 1.43719 
-3.8 0.8 1.30856 
-3.8 1 1.15216 
-3.8 1.2 0.974216 
-3.8 1.4 0.781825 
-3.8 1.6 0.582658 
-3.8 1.8 0.384656 
-3.8 2 0.195711 
